765	766	e	e
766	767	+V	<eps>
767	0	<eps>	#
766	768	+3D	^s
768	0	<eps>	#
766	769	+ING	^ing
769	0	<eps>	#
766	770	-	<eps>
770	771	<eps>	^
771	772	a	a
772	773	t	t
773	774	i	i
774	775	o	o
775	776	n	n
776	777	+N	<eps>
777	0	<eps>	#
776	778	+PL	^s
778	0	<eps>	#
778	780	+PLPS	'
780	0	<eps>	#
776	779	+SGPS	's
779	0	<eps>	#
744	781	-	<eps>
781	782	<eps>	^
782	783	n	n
783	784	e	e
784	785	s	s
785	786	s	s
786	787	+N	<eps>
787	0	<eps>	#
786	788	+PL	^s
788	0	<eps>	#
788	790	+PLPS	'
790	0	<eps>	#
786	789	+SGPS	's
789	0	<eps>	#
661	791	t	t
791	792	e	e
792	793	r	r
793	794	n	n
794	795	+N	<eps>
795	796	+SG	<eps>
796	0	<eps>	#
795	797	+PL	^s
797	0	<eps>	#
794	798	-	<eps>
798	799	<eps>	^
799	800	a	a
800	801	l	l
801	802	ADJ	<eps>
802	0	<eps>	#
794	803	-	<eps>
803	804	<eps>	^
804	805	l	l
805	806	y	y
806	807	+ADV	<eps>
807	0	<eps>	#
794	808	-	<eps>
808	809	<eps>	^
809	810	n	n
810	811	e	e
811	812	s	s
812	813	s	s
813	814	+N	<eps>
814	0	<eps>	#
813	815	+PL	^s
815	0	<eps>	#
815	817	+PLPS	'
817	0	<eps>	#
813	816	+SGPS	's
816	0	<eps>	#
0	818	u	u
818	819	s	s
819	820	u	u
820	821	a	a
821	822	l	l
822	823	+N	<eps>
823	824	+SG	<eps>
824	0	<eps>	#
823	825	+PL	^s
825	0	<eps>	#
822	826	-	<eps>
826	827	<eps>	^
827	828	l	l
828	829	y	y
829	830	+ADV	<eps>
830	0	<eps>	#
822	831	-	<eps>
831	832	<eps>	^
832	833	n	n
833	834	e	e
834	835	s	s
835	836	s	s
836	837	+N	<eps>
837	0	<eps>	#
836	838	+PL	^s
838	0	<eps>	#
838	840	+PLPS	'
840	0	<eps>	#
836	839	+SGPS	's
839	0	<eps>	#
0
